"20 10 Tennessee (Radio Edit)","2016-11-19","Tucker Beathard","Dot Records","Country","69"
"8am (Neo Punk) (Original Mix)","2016-11-19","Kater","Independent","Techno","128"
"8am (Original Mix)","2016-11-19","Kater","Independent","Techno","128"
"8am (Ruhrgebeatler Remix)","2016-11-19","Kater","Independent","Techno","128"
"Above In The Sky (Original Mix)","2016-11-19","Dreamline","Independent","Trance","137"
"Acid Drama (Glock In The C","2016-11-19","Pablo Puga"," Hairy Fuzz Reco","Techno","125"
"Acid Drama (Original Mix)","2016-11-19","Pablo Puga"," Hairy Fuzz Reco","Techno","124"
"Acid Drama (The Life We Li","2016-11-19","Pablo Puga"," Hairy Fuzz Reco","Techno","125"
"A Deeper Love (Original Remix)","2016-11-19","Misteralf Ft Mimi","Independent","House","123"
"A Little Party (Original Mix)","2016-11-19","Nightfunk","Independent","Techno","124"
"Anasthasia (Thnk Remix)","2016-11-19","T99","Independent","Techno","128"
"Another Day In Paradise (O","2016-11-19","Danny Darko Ft Mary De","Independent","House","120"
"Anthems (Fomo) (Chaka Khan","2016-11-19","House Of Virus","Skint Records","House","124"
"Anthems (Grand) (Preset & ","2016-11-19","House Of Virus","Skint Records","House","124"
"Anthems (Marshall Jefferso","2016-11-19","House Of Virus","Skint Records","House","124"
"Anything Is Possible (Exte","2016-11-19","Bobby Puma Ft Zach Sor","Independent","House","118"
"Automatic (Instrumental) (","2016-11-19","Lil Bitts","Independent","Soca","118"
"Automatic (Main) (Soca 201","2016-11-19","Lil Bitts","Independent","Soca","118"
"Baby Its Cold Outside (Radio Edit)","2016-11-19","Brett Eldredge Ft. Meg","Atlantic Records","Country","57"
"Ballerina (Remix) (Clean)","2016-11-19","Belly Ft. Ty Dolla $ig","4ad","Hip Hop","64"
"Ballerina (Remix) (Dirty)","2016-11-19","Belly Ft. Ty Dolla $ig","4ad","Hip Hop","64"
"Ballerina Remix (Dirty)","2016-11-19","Belly Ft. Ty Dolla $ig","4ad","Hip Hop","128"
"Ballerina (Remix) (Radio E","2016-11-19","Belly Ft. Ty Dolla $ig","4ad","Hip Hop","64"
"Bassline Angels (Bassline ","2016-11-19","Apollo 84","Independent","Soulful","126"
"Be Alright (Acapella)","2016-11-19","Ariana Grande","Interscope Recor","Pop","109"
"Beat 2 Beat (Original Mix)","2016-11-19","Joy Marquez, Abdel Kar","Independent","Techno","125"
"Bigger Than Hip Hop (Remix)","2016-11-19","Dead Prez","Independent","House","124"
"Black Jungle (Koltech Remix)","2016-11-19","Joseph Mancino","Drunken Monkey R","Techno","125"
"Black Jungle (Original Mix)","2016-11-19","Joseph Mancino","Drunken Monkey R","Techno","123"
"Black Jungle (Primal Remix)","2016-11-19","Joseph Mancino","Drunken Monkey R","Techno","121"
"Black Jungle (Yory Remix)","2016-11-19","Joseph Mancino","Drunken Monkey R","Techno","123"
"Blackout (Original Mix)","2016-11-19","Beckers, D Nox, Santia","Independent","Techno","123"
"Blown (Clean)","2016-11-19","Dnce Ft Kent Jones","Republic Records","Pop","130"
"Blown (Dirty)","2016-11-19","Dnce Ft Kent Jones","Republic Records","Pop","130"
"Blue Notes (Clean)","2016-11-19","Meek Mill","Mmg","Hip Hop","71"
"Blue Notes (Dirty)","2016-11-19","Meek Mill","Mmg","Hip Hop","71"
"Bomber (Original Mix)","2016-11-19","Hash","Independent","House","124"
"Boom Coeur (Extended Mix)","2016-11-19","Future Antics","Independent","Trance","138"
"Bring It On Home (Original","2016-11-19","Boy Kiss Girl","Independent","House","110"
"Bring The Funk Back (The C","2016-11-19","Leandro Da Silva, Laro","Independent","Techno","124"
"Buy Back The Block (Clean)","2016-11-19","Rick Ross Ft. 2 Chainz","Mmg","Hip Hop","93"
"Buy Back The Block (Dirty)","2016-11-19","Rick Ross Ft. 2 Chainz","Mmg","Hip Hop","70"
"By Your Side (Consume) (Or","2016-11-19","Matteo Rosolare & Jojo","Independent","Techno","124"
"By Your Side (Original Mix","2016-11-19","Matteo Rosolare & Jojo","Independent","Techno","123"
"Call On Me (Dexcell Remix)","2016-11-19","Starley","Independent","House","174"
"Christmas All Over The World","2016-11-19","David Shaw Trio Ft Nat","Yep Roc Records","Pop","73"
"Christmas All Over The World","2016-11-19","David Shaw Trio Ft Nat","Yep Roc Records","Pop","73"
"Chunky (Clean)","2016-11-19","Bruno Mars","Atlantic Records","Pop","101"
"Chunky (Dirty)","2016-11-19","Bruno Mars","Atlantic Records","Pop","101"
"Classic (Original Mix)","2016-11-19","Matthew Anthony, Gawp","Independent","Techno","124"
"Clear (Radio Edit)","2016-11-19","Pusher Ft Mothica","Independent","Dance","145"
"Club (Original Mix)","2016-11-19","Dj Luis Patty","Independent","Techno","124"
"Colors (Original Mix)","2016-11-19","Vini Vici, Tristan, Av","Independent","Trance","138"
"Come On Up To Our House (R","2016-11-19","Bon Jovi","Island Records","Rock","61"
"(Connect Riddim) Better No","2016-11-19","Collegeboy Jesse","Independent","Soca","130"
"(Connect Riddim) Feteing V","2016-11-19","Lyrikal","Independent","Soca","130"
"(Connect Riddim) Trouble (","2016-11-19","Skinny Fabulous","Independent","Soca","130"
"Could You Love Me (Original Mix)","2016-11-19","Black Saint","Independent","House","124"
"Cross That Line (Mauama Remix)","2016-11-19","Dayans Ft Jag Bentley","Independent","House","124"
"Crzy Remix (Clean)","2016-11-19","Kehlani Ft. A Boogie W","Atlantic Records","R&B","65"
"Crzy Remix (Dirty)","2016-11-19","Kehlani Ft. A Boogie W","Atlantic Records","R&B","65"
"Crzy Remix (Instrumental)","2016-11-19","Kehlani Ft. A Boogie W","Atlantic Records","R&B","65"
"Dance Machine (Original Mix)","2016-11-19","Zurra","Independent","Techno","121"
"Diamonds Talkin Back (Clea","2016-11-19","2 Chainz","Def Jam Recordin","Hip Hop","73"
"Diamonds Talkin Back (Dirt","2016-11-19","2 Chainz","Def Jam Recordin","Hip Hop","73"
"Dont Worry (Radio Edit)","2016-11-19","Tom Prior","Island Records","Pop","90"
"Doo Doo & Diana (Doo Doo) ","2016-11-19","Ninetoes","Independent","Techno","125"
"Drifting Along (Instrument","2016-11-19","Stj Ft Lazy Hammock","Davino Records","Dance","129"
"Drifting Along (Original)","2016-11-19","Stj Ft Lazy Hammock","Davino Records","Dance","129"
"Drinkin Problem (Radio Edit)","2016-11-19","Midland","Independent","Country","102"
"Drop The Needle (Original Mix)","2016-11-19","Skapes","Independent","Techno","123"
"Drowning In Your Space (Ex","2016-11-19","Knightlore & Colin Rou","Independent","House","122"
"Earthbound (Acoustic)","2016-11-19","Denise Lopes","Independent","Soulful","117"
"El Reloj (Original Mix)","2016-11-19","Nicolas Palazzi, Havoc","Independent","House","125"
"Elysia (Nico Mendez Remix)","2016-11-19","Craig Hughes","Independent","Techno","125"
"Emotions (Dub Mix)","2016-11-19","M1 Music","Independent","Soulful","124"
"Eternal Lover 2016 (Karim ","2016-11-19","Bibi & Sami Dee, Konga","Independent","Soulful","123"
"Famous Lies And Unpopular ","2016-11-19","Nipsey Hussle","Cinematic Music ","Hip Hop","69"
"Famous Lies And Unpopular ","2016-11-19","Nipsey Hussle","Cinematic Music ","Hip Hop","69"
"Famous Lies And Unpopular ","2016-11-19","Nipsey Hussle","Cinematic Music ","Hip Hop","69"
"Famous Lies And Unpopular ","2016-11-19","Nipsey Hussle","Cinematic Music ","Hip Hop","69"
"Famous Lies And Unpopular ","2016-11-19","Nipsey Hussle","Cinematic Music ","Hip Hop","69"
"Fayettenam War Report Free","2016-11-19","Paul Ma$$on","New Litter Ent.","Hip Hop","138"
"Find Me (Radio Edit)","2016-11-19","Sigma Ft Birdy","Independent","Dance","135"
"Fired Up (Cajjmere Wray 2k","2016-11-19","Cajjmere Wray Ft The G","Independent","House","128"
"Floating People (Guri Remix)","2016-11-19","Cesar Del Rio & Tatsu","Mylittledog-Reco","House","124"
"Floating People (Original Mix)","2016-11-19","Cesar Del Rio & Tatsu","Mylittledog-Reco","House","122"
"Floating People (Sinan Kay","2016-11-19","Cesar Del Rio & Tatsu","Mylittledog-Reco","House","124"
"Forever (Andy Van Remix)","2016-11-19","Vandalism Vs Tommie Su","Independent","House","126"
"Forever (Bojac Remix)","2016-11-19","Vandalism Vs Tommie Su","Independent","House","126"
"Forever (Original Mix)","2016-11-19","Vandalism Vs Tommie Su","Independent","House","126"
"Forgiveness (Original Mix)","2016-11-19","Ludo","Independent","House","124"
"Freakshow (Original Mix)","2016-11-19","Snavs","Independent","Dance","90"
"Gasoline (Dj Red Remix) (C","2016-11-19","Halsey","Astralwerks","Dance","126"
"Gasoline (Dj Red Remix) (D","2016-11-19","Halsey","Astralwerks","Dance","126"
"Get Freaky (Original Mix)","2016-11-19","Thomaz Krauze","Independent","House","122"
"Get Into You (Instrumental","2016-11-19","Husky Ft Andre Espeut","Independent","Soulful","123"
"Get Into You (Original Mix","2016-11-19","Husky Ft Andre Espeut","Independent","Soulful","123"
"Get Low (Radio Edit)","2016-11-19","James Vincent Mcmorrow","Vagrant Records","Rock","75"
"Gia Tous (Original Mix)","2016-11-19","Fomichev, Pahomoff","Independent","House","121"